isin,code,exchange,type,country,currency,name,selection_reason
BG9000011163,BGX,XETRA,ETF,Germany,EUR,Expat Bulgaria SOFIX UCITS ETF,preferred_xetra
BGCROEX03189,ECDC,XETRA,ETF,Germany,EUR,Expat Croatia Crobex UCITS ETF,preferred_xetra
BGCZPX003174,CZX,XETRA,ETF,Germany,EUR,Expat Czech PX UCITS ETF,preferred_xetra
BGGRASE06174,GRX,XETRA,ETF,Germany,EUR,Expat Greece ASE UCITS ETF,preferred_xetra
BGHUBUX01189,HUBE,XETRA,ETF,Germany,EUR,Expat Hungary BUX UCITS ETF,preferred_xetra
BGMACMB06181,MKK1,XETRA,ETF,Germany,EUR,Expat Macedonia Mbi10 Ucits Etf,preferred_xetra
BGPLWIG04173,PLX,XETRA,ETF,Germany,EUR,Expat Poland WIG20 UCITS ETF,preferred_xetra
BGROBET05176,ROX,XETRA,ETF,Germany,EUR,Expat Romania BET - BK UCITS ETF,preferred_xetra
BGSKSAX04187,SK9A,XETRA,ETF,Germany,EUR,Expat Slovakia Sax UCITS ETF,preferred_xetra
BGSLOBI02187,SLQX,XETRA,ETF,Germany,EUR,Expat Slovenia SBI Top UCITS ETF,preferred_xetra
BGSRBBE05183,ESNB,XETRA,ETF,Germany,EUR,Expat Serbia Belex15 UCITS ETF,preferred_xetra
DE0002635265,EXHE,XETRA,ETF,Germany,EUR,iShares Pfandbriefe UCITS ETF (DE),preferred_xetra
DE0002635273,EXSB,XETRA,ETF,Germany,EUR,iShares DivDAX® UCITS ETF (DE),preferred_xetra
DE0002635281,EXSG,XETRA,ETF,Germany,EUR,iShares EURO STOXX Select Dividend 30 UCITS ETF (DE),preferred_xetra
DE0002635299,EXSH,XETRA,ETF,Germany,EUR,iShares STOXX Europe Select Dividend 30 UCITS ETF (DE),preferred_xetra
DE0002635307,EXSA,XETRA,ETF,Germany,EUR,iShares STOXX Europe 600 UCITS ETF (DE) EUR (Dist),preferred_xetra
DE0005933923,EXS3,XETRA,ETF,Germany,EUR,iShares MDAX® UCITS ETF (DE),preferred_xetra
DE0005933931,EXS1,XETRA,ETF,Germany,EUR,iShares Core DAX® UCITS ETF (DE) EUR (Acc),preferred_xetra
DE0005933949,EXW3,XETRA,ETF,Germany,EUR,iShares STOXX Europe 50 UCITS ETF (DE),preferred_xetra
DE0005933956,EXW1,XETRA,ETF,Germany,EUR,iShares Core EURO STOXX 50 UCITS ETF (DE),preferred_xetra
DE0005933964,EXI1,XETRA,ETF,Germany,EUR,iShares SLI UCITS ETF (DE),preferred_xetra
DE0005933972,EXS2,XETRA,ETF,Germany,EUR,iShares TecDAX® UCITS ETF (DE),preferred_xetra
DE0005933980,EXSC,XETRA,ETF,Germany,EUR,iShares STOXX Europe Large 200 UCITS ETF (DE),preferred_xetra
DE0005933998,EXSD,XETRA,ETF,Germany,EUR,iShares STOXX Europe Mid 200 UCITS ETF (DE),preferred_xetra
DE0006289309,EXX1,XETRA,ETF,Germany,EUR,iShares EURO STOXX Banks 30-15 UCITS ETF (DE),preferred_xetra
DE0006289382,EXI2,XETRA,ETF,Germany,EUR,iShares Dow Jones Global Titans 50 UCITS ETF (DE),preferred_xetra
