code,exchange,type,country,currency,isin,name
JPXY,AS,ETF,Netherlands,JPY,LU2233156749,Amundi Index Solutions - Amundi MSCI Japan SRI Climate Paris Aligned - UCITS ETF DR (C)
GLDU,AS,ETF,Netherlands,USD,LU0488317701,Amundi Index Solutions - Amundi NYSE Arca Gold BUGS UCITS ETF USD Distributing USD
500E,AS,ETF,Netherlands,EUR,LU1681049018,Amundi Index Solutions - Amundi S&P 500 UCITS ETF C USD EUR
LCJP,AS,ETF,Netherlands,JPY,LU1781541252,Amundi MSCI Japan UCITS ETF
WSRI,AS,ETF,Netherlands,USD,IE000Y77LGG9,Amundi MSCI World SRI Climate Net Zero Ambition PAB UCITS ETF EUR Acc USD
WRDU,AS,ETF,Netherlands,USD,IE000BI8OT95,Amundi MSCI World UCITS ETF DR USD Acc
MACU,AS,ETF,Netherlands,USD,IE00BLB2GQ94,BlackRock ESG Multi-Asset Conservative Portfolio UCITS ETF USD Hedged (Acc)
MAGU,AS,ETF,Netherlands,USD,IE00BLB2GS19,BlackRock ESG Multi-Asset Growth Portfolio UCITS ETF USD Hedged (Acc)
FCSG,AS,ETF,Netherlands,EUR,IE00BKPSPT20,FIRST TRUST GLOBAL FUNDS PLC - First Trust Global Capital Strength ESG Leaders UCITS ETF Class A USD EUR
FDNE,AS,ETF,Netherlands,EUR,IE00BG0SSC32,First Trust Dow Jones Internet UCITS ETF Class A USD EUR
FXEU,AS,ETF,Netherlands,EUR,IE00BD5HBS12,First Trust FactorFX UCITS ETF Class C EUR
SKYE,AS,ETF,Netherlands,EUR,IE00BFD2H405,First Trust Global Funds PLC - First Trust Cloud Computing Ucits ETF
FSOV,AS,ETF,Netherlands,EUR,IE00BKS2X317,First Trust Low Duration Global Government Bond UCITS ETF
QCLN,AS,ETF,Netherlands,EUR,IE00BDBRT036,First Trust Nasdaq Clean Edge Green Energy UCITS ETF Acc
FLPE,AS,ETF,Netherlands,EUR,IE0008ZGI5C1,FlexShares Listed Private Equity UCITS ETF USD Acc
FLXC,AS,ETF,Netherlands,EUR,IE00BHZRR147,Franklin FTSE China UCITS ETF EUR
FLXI,AS,ETF,Netherlands,EUR,,Franklin FTSE India UCITS ETF EUR
FLXJ,AS,ETF,Netherlands,EUR,IE000D0T0BO1,Franklin FTSE Japan UCITS ETF
IU28,AS,ETF,Netherlands,USD,,ISHARES IBONDS DEC 2028 TERM $ HIGH YIELD CORP UCITS ETF USD (ACC)
IU29,AS,ETF,Netherlands,USD,,ISHARES IBONDS DEC 2029 TERM $ HIGH YIELD CORP UCITS ETF USD (ACC)
SBIO,AS,ETF,Netherlands,EUR,IE00BQ70R696,Invesco NASDAQ Biotech UCITS ETF
EMSA,AS,ETF,Netherlands,EUR,IE00BF553838,Ishares II PLC - Ishares J.P. Morgan ESG Emerging Bond Ucits ETF
CITY,AS,ETF,Netherlands,USD,IE00BKTLJC87,Ishares IV PLC - Ishares Smart City Infrastructure Ucits ETF
ISPY,AS,ETF,Netherlands,EUR,IE00BYPLS672,L&G Cyber Security UCITS ETF EUR
LGGL,AS,ETF,Netherlands,EUR,IE00BFXR5S54,L&G Global Equity UCITS ETF
AUCO,AS,ETF,Netherlands,EUR,IE00B3CNHG25,L&G Gold Mining UCITS ETF
